ISBN	ARK_TITLE	ARK_PRICE	ARK_URL	NORLI_TITLE	NORLI_PRICE	NORLI_URL	ADLIBRIS_TITLE	ADLIBRIS_PRICE	ADLIBRIS_URL	TIMESTAMP
9788203394836	Papegøyens hemmelighet	272	https://www.ark.no/produkt/boker/barneboker/papegoyens-hemmelighet-9788203394836	Papegøyens hemmelighet	272	https://www.norli.no/boker/barneboker/fra-6-ar/papegoyens-hemmelighet	Papegøyens hemmelighet	273	https://www.adlibris.com/no/bok/papegoyens-hemmelighet-9788203394836	2024-11-13 00:22:49
9788202672522	Rare fakta - Europa	181	https://www.ark.no/produkt/boker/barneboker/rare-fakta-9788202672522	Rare fakta - Europa	181	https://www.norli.no/boker/barneboker/fra-6-ar/rare-fakta-europa	Rare fakta	181	https://www.adlibris.com/no/bok/rare-fakta-9788202672522	2024-11-13 00:35:20
9788202732110	Rare oppfinnelser	181	https://www.ark.no/produkt/boker/barneboker/rare-oppfinnelser-9788202732110	Rare oppfinnelser	181	https://www.norli.no/boker/barneboker/fra-6-ar/rare-oppfinnelser	Rare oppfinnelser	181	https://www.adlibris.com/no/bok/rare-oppfinnelser-9788202732110	2024-11-13 00:22:10
9788284420714	-	0	-	Sabotør samleboks - menn i mørket	0	https://www.norli.no/boker/ungdomsboker/sabotor-samleboks	-	0	-	2024-11-13 00:30:46
9788283571066	Gode hjelpere	154	https://www.ark.no/produkt/boker/barneboker/gode-hjelpere-9788283571066	Gode hjelpere	154	https://www.norli.no/boker/barneboker/fra-10-ar/gode-hjelpere	Gode hjelpere	154	https://www.adlibris.com/no/bok/gode-hjelpere-9788283571066	2024-11-13 00:19:47
9788205514478	Verdens verste fotballag	272	https://www.ark.no/produkt/boker/barneboker/verdens-verste-fotballag-9788205514478	Verdens verste fotballag	272	https://www.norli.no/boker/barneboker/fra-8-ar/verdens-verste-fotballag-1	Verdens verste fotballag	273	https://www.adlibris.com/no/bok/verdens-verste-fotballag-9788205514478	2024-11-13 00:33:59
9788205482852	Verdens verste jul	129	https://www.ark.no/produkt/boker/barneboker/verdens-verste-jul-9788205482852	Verdens verste jul	272	https://www.norli.no/boker/barneboker/fra-8-ar/verdens-verste-jul-1	Verdens verste jul	273	https://www.adlibris.com/no/bok/verdens-verste-jul-9788205482852	2024-11-13 00:12:25
9788293346715	Gutta i trehuset med 78 etasjer blir filmstjerner	272	https://www.ark.no/produkt/boker/barneboker/gutta-i-trehuset-med-78-etasjer-blir-filmstjerner-9788293346715	Gutta i trehuset med 78 etasjer blir filmstjerner	272	https://www.norli.no/boker/barneboker/fra-10-ar/gutta-i-trehuset-med-78-etasjer-blir-filmstjerne	Gutta i trehuset med 78 etasjer blir filmstjerner	273	https://www.adlibris.com/no/bok/gutta-i-trehuset-med-78-etasjer-blir-filmstjerner-9788293346715	2024-11-13 00:11:56
9788284010793	Dragon ball super - 3 : Nullmenneskeplanen	117	https://www.ark.no/produkt/boker/barneboker/dragon-ball-super-9788284010793	Dragon ball super - 3 : Nullmenneskeplanen	118	https://www.norli.no/boker/humor-og-tegneserier/tegneserier/manga/dragon-ball-super	Dragon ball super	118	https://www.adlibris.com/no/bok/dragon-ball-super-9788284010793	2024-11-13 00:12:46
9788284310237	Underjordisk oppdrag	229	https://www.ark.no/produkt/boker/barneboker/underjordisk-oppdrag-9788284310237	Underjordisk oppdrag	272	https://www.norli.no/boker/barneboker/fra-10-ar/underjordisk-oppdrag	Trollheim; Underjordisk oppdrag, bok 3	273	https://www.adlibris.com/no/bok/trollheim-underjordisk-oppdrag-bok-3-9788284310237	2024-11-13 00:11:06
9788241953897	Farefulle høyder	272	https://www.ark.no/produkt/boker/barneboker/farefulle-hoyder-9788241953897	Farefulle høyder	272	https://www.norli.no/boker/barneboker/fra-8-ar/hundemannen-10	Hundemannen; Farefulle høyder	273	https://www.adlibris.com/no/bok/hundemannen-farefulle-hoyder-9788241953897	2024-11-13 00:28:54
9788205562356	Cassiopeia er forelsket	227	https://www.ark.no/produkt/boker/barneboker/cassiopeia-er-forelsket-9788205562356	Cassiopeia er forelsket	227	https://www.norli.no/boker/barneboker/fra-10-ar/sostrene-gyldenblom-bok-2	Cassiopeia er forelsket	227	https://www.adlibris.com/no/bok/cassiopeia-er-forelsket-9788205562356	2024-11-13 00:10:56
9788283731217	Gutta i trehuset forteller vitser til de får lattersjokk	245	https://www.ark.no/produkt/boker/barneboker/gutta-i-trehuset-forteller-vitser-til-de-far-lattersjokk-9788283731217	Gutta i trehuset forteller vitser til de får latte	149	https://www.norli.no/boker/barneboker/fakta/quiz-og-hobby/gutta-i-trehuset-far-latterkrampe-av-sine-egne-vitser	Gutta i trehuset forteller vitser til de får lattersjokk	245	https://www.adlibris.com/no/bok/gutta-i-trehuset-forteller-vitser-til-de-far-lattersjokk-9788283731217	2024-11-13 00:32:37
9788242975164	Skogen	300	https://www.ark.no/produkt/boker/barneboker/skogen-9788242975164	Skogen	199	https://www.norli.no/boker/barneboker/fra-8-ar/skogen-6	Skogen	300	https://www.adlibris.com/no/bok/skogen-9788242975164	2024-11-13 00:36:00
9780702329371	-	0	-	Diary of a Roblox Pro #5: Zombie Invasion	129	https://www.norli.no/boker/barneboker/fra-8-ar/historier/diary-of-a-roblox-pro-5-zombie-invasion	Diary of a Roblox Pro #5: Zombie Invasion	105	https://www.adlibris.com/no/bok/diary-of-a-roblox-pro-5-zombie-invasion-9780702329371	2024-11-13 00:38:42
9788283571448	Mørke minner	154	https://www.ark.no/produkt/boker/barneboker/morke-minner-9788283571448	Mørke minner	154	https://www.norli.no/boker/barneboker/fra-10-ar/kattekrigerne-2	Mørke minner	154	https://www.adlibris.com/no/bok/morke-minner-9788283571448	2024-11-13 00:10:47
9780702329364	Diary of a Roblox Pro #6: Mega Shark	119	https://www.ark.no/produkt/boker/barneboker/diary-of-a-roblox-pro-6-mega-shark-9780702329364	Diary of a Roblox Pro #6: Mega Shark	129	https://www.norli.no/diary-of-a-roblox-pro-6-mega-shark	Diary of a Roblox Pro #6: Mega Shark	105	https://www.adlibris.com/no/bok/diary-of-a-roblox-pro-6-mega-shark-9780702329364	2024-11-13 00:38:32
9788202365684	Lars på Mars	172	https://www.ark.no/produkt/boker/barneboker/lars-pa-mars-9788202365684	Lars på Mars	172	https://www.norli.no/boker/barneboker/fra-4-ar/lars-pa-mars	Lars på Mars	172	https://www.adlibris.com/no/bok/lars-pa-mars-9788202365684	2024-11-13 00:32:57
9788234716812	Operasjon Fangejakt	149	https://www.ark.no/produkt/boker/barneboker/operasjon-fangejakt-9788234716812	Operasjon Fangejakt	272	https://www.norli.no/boker/barneboker/fra-8-ar/operasjon-fangejakt	Operasjon Fangejakt	273	https://www.adlibris.com/no/bok/operasjon-fangejakt-9788234716812	2024-11-13 00:36:30
9788283571080	Hjemreisen	154	https://www.ark.no/produkt/boker/barneboker/hjemreisen-9788283571080	Hjemreisen	154	https://www.norli.no/boker/barneboker/fra-10-ar/hjemreisen-1	Hjemreisen	154	https://www.adlibris.com/no/bok/hjemreisen-9788283571080	2024-11-13 00:29:04
9788284010779	Dragon ball super - 1 : Krigerne fra univers 6	117	https://www.ark.no/produkt/boker/barneboker/dragon-ball-super-9788284010779	Dragon ball super - 1 : Krigerne fra univers 6	118	https://www.norli.no/boker/humor-og-tegneserier/tegneserier/manga/dragon-ball-super-1	Dragon ball super	118	https://www.adlibris.com/no/bok/dragon-ball-super-9788284010779	2024-11-13 00:29:44
9788202722944	Eventyret i Lindrizia	272	https://www.ark.no/produkt/boker/barneboker/eventyret-i-lindrizia-9788202722944	Eventyret i Lindrizia	179	https://www.norli.no/boker/barneboker/fra-6-ar/eventyret-i-lindrizia	Musse & Helium; Eventyret i Lindrizia, bok 3	273	https://www.adlibris.com/no/bok/musse-helium-eventyret-i-lindrizia-bok-3-9788202722944	2024-11-13 00:18:46
9788242975157	Valget	300	https://www.ark.no/produkt/boker/barneboker/valget-9788242975157	Valget	169	https://www.norli.no/boker/barneboker/fra-8-ar/gaten-6	Valget; Arkin - lysets vokter 3	300	https://www.adlibris.com/no/bok/valget-arkin---lysets-vokter-3-9788242975157	2024-11-13 00:36:20
9788202617073	Vitseløve - 4 : Pappavitser	181	https://www.ark.no/produkt/boker/barneboker/vitselove-9788202617073	Vitseløve - 4,Pappavitser	181	https://www.norli.no/boker/barneboker/fra-6-ar/vitselove	Vitseløve	181	https://www.adlibris.com/no/bok/vitselove-9788202617073	2024-11-13 00:09:57
9788202666255	Vitseløve - 6 : Spis eller bli spist	181	https://www.ark.no/produkt/boker/barneboker/vitselove-9788202666255	Vitseløve - 6,Spis eller bli spist	99	https://www.norli.no/boker/barneboker/fra-6-ar/vitselove-1	Vitseløve	181	https://www.adlibris.com/no/bok/vitselove-9788202666255	2024-11-13 00:26:11
9788202672508	Flaut	172	https://www.ark.no/produkt/boker/barneboker/flaut-9788202672508	Flaut	172	https://www.norli.no/boker/barneboker/fra-4-ar/flaut-2	Flaut	172	https://www.adlibris.com/no/bok/flaut-9788202672508	2024-11-13 00:30:25
9788283730814	Gutta i trehuset dør (nesten) av sine egne vitser	245	https://www.ark.no/produkt/boker/barneboker/gutta-i-trehuset-dor-nesten-av-sine-egne-vitser-9788283730814	Gutta i trehuset dør (nesten) av sine egne vitser	149	https://www.norli.no/boker/barneboker/fakta/quiz-og-hobby/gutta-i-trehuset-dor-nesten-av-sine-egne-vitser	Gutta i trehuset dør (nesten) av sine egne vitser	245	https://www.adlibris.com/no/bok/gutta-i-trehuset-dor-nesten-av-sine-egne-vitser-9788283730814	2024-11-13 00:17:35
9788242978417	Mysteriet med den forsvunne maten	72	https://www.ark.no/produkt/boker/barneboker/mysteriet-med-den-forsvunne-maten-9788242978417	Mysteriet med den forsvunne maten - mysteriet med den forsvunne maten	72	https://www.norli.no/boker/barneboker/fra-6-ar/pokemon-4	Mysteriet med den forsvunne maten	72	https://www.adlibris.com/no/bok/mysteriet-med-den-forsvunne-maten-9788242978417	2024-11-13 00:15:32
9788202789565	Mumiens forbannelse	254	https://www.ark.no/produkt/boker/barneboker/mumiens-forbannelse-9788202789565	Mumiens forbannelse	254	https://www.norli.no/boker/barneboker/fra-10-ar/mumiens-forbannelse-2	Mumiens forbannelse	254	https://www.adlibris.com/no/bok/mumiens-forbannelse-9788202789565	2024-11-13 00:18:06
9788202345488	Hokus pokus	172	https://www.ark.no/produkt/boker/barneboker/hokus-pokus-9788202345488	Hokus pokus	172	https://www.norli.no/boker/barneboker/fra-4-ar/hokus-pokus	Hokus pokus	172	https://www.adlibris.com/no/bok/hokus-pokus-9788202345488	2024-11-13 00:13:39
9788283730050	Gutta i trehuset med 91 etasjer - sitter barnevakt i en bagett	272	https://www.ark.no/produkt/boker/barneboker/gutta-i-trehuset-med-91-etasjer-9788283730050	Gutta i trehuset med 91 etasjer - sitter barnevakt i en bagett	272	https://www.norli.no/boker/barneboker/fra-10-ar/gutta-i-trehuset-med-91-etasjer	Gutta i trehuset med 91 etasjer	273	https://www.adlibris.com/no/bok/gutta-i-trehuset-med-91-etasjer-9788283730050	2024-11-13 00:21:29
9788241953880	Forbrytelse og slafs	272	https://www.ark.no/produkt/boker/barneboker/forbrytelse-og-slafs-9788241953880	Forbrytelse og slafs	272	https://www.norli.no/boker/barneboker/fra-8-ar/forbrytelse-og-slafs	Hundemannen; Forbrytelse og slafs	273	https://www.adlibris.com/no/bok/hundemannen-forbrytelse-og-slafs-9788241953880	2024-11-13 00:27:53
9788202635015	Leona i rottetrøbbel	181	https://www.ark.no/produkt/boker/barneboker/leona-i-rottetrobbel-9788202635015	Leona i rottetrøbbel	181	https://www.norli.no/boker/barneboker/fra-6-ar/leona-i-rottetrobbel	Leona i rottetrøbbel	181	https://www.adlibris.com/no/bok/leona-i-rottetrobbel-9788202635015	2024-11-13 00:29:54
9788248919339	Nedtegnelser fra en ekte BFF - NOT!	272	https://www.ark.no/produkt/boker/barneboker/nedtegnelser-fra-en-ekte-bff-not-9788248919339	Nedtegnelser fra en ekte BFF - NOT!	272	https://www.norli.no/boker/barneboker/fra-10-ar/nedtegnelser-fra-en-ekte-bff-not-1	Nedtegnelser fra en ekte BFF - NOT!	273	https://www.adlibris.com/no/bok/nedtegnelser-fra-en-ekte-bff---not-9788248919339	2024-11-13 00:26:52
9781789464726	Bruno Fernandes (Ultimate Football Heroes - the No. 1 football series) - Collect them all!	129	https://www.ark.no/produkt/boker/barneboker/bruno-fernandes-ultimate-football-heroes-the-no-1-football-series-9781789464726	Bruno Fernandes (Ultimate Football Heroes - the No. 1 football series) - Collect them all!	129	https://www.norli.no/boker/barneboker/fakta/bruno-fernandes-ultimate-football-heroes-the-no-1-football-series	Bruno Fernandes (Ultimate Football Heroes - the No. 1 football series)	141	https://www.adlibris.com/no/bok/bruno-fernandes-ultimate-football-heroes---the-no-1-football-series-9781789464726	2024-11-13 00:37:01
9788234705519	Operasjon Ninja	227	https://www.ark.no/produkt/boker/barneboker/operasjon-ninja-9788234705519	Operasjon Ninja	149	https://www.norli.no/boker/barneboker/fra-8-ar/operasjon-ninja	Operasjon Ninja	227	https://www.adlibris.com/no/bok/operasjon-ninja-9788234705519	2024-11-13 00:08:56
9788202722975	Den siste kampen	272	https://www.ark.no/produkt/boker/barneboker/den-siste-kampen-9788202722975	Den siste kampen	254	https://www.norli.no/boker/barneboker/fra-6-ar/den-siste-kampen	Musse & Helium; Den siste kampen, bok 5	273	https://www.adlibris.com/no/bok/musse-helium-den-siste-kampen-bok-5-9788202722975	2024-11-13 00:16:24
9788205555129	Iskalde strøk	181	https://www.ark.no/produkt/boker/barneboker/iskalde-strok-9788205555129	Iskalde strøk	181	https://www.norli.no/boker/barneboker/fra-6-ar/iskalde-strok	Iskalde strøk	181	https://www.adlibris.com/no/bok/iskalde-strok-9788205555129	2024-11-13 00:31:26
9788202772727	Hvem i lufta?	172	https://www.ark.no/produkt/boker/barneboker/hvem-i-lufta-9788202772727	Hvem i lufta?	172	https://www.norli.no/boker/barneboker/fra-4-ar/hvem-i-lufta	Hvem i lufta?	172	https://www.adlibris.com/no/bok/hvem-i-lufta-9788202772727	2024-11-13 00:33:48
9788202597276	Rare rekorder	172	https://www.ark.no/produkt/boker/barneboker/rare-rekorder-9788202597276	Rare rekorder	172	https://www.norli.no/boker/barneboker/fra-4-ar/rare-rekorder	Rare rekorder	172	https://www.adlibris.com/no/bok/rare-rekorder-9788202597276	2024-11-13 00:36:10
9788248922674	Nedtegnelser fra en fantastisk bursdag - NOT!	272	https://www.ark.no/produkt/boker/barneboker/nedtegnelser-fra-en-fantastisk-bursdag-not-9788248922674	Nedtegnelser fra en fantastisk bursdag - NOT!	272	https://www.norli.no/boker/barneboker/fra-10-ar/dustedagboka-13	Nedtegnelser fra en fantastisk bursdag - NOT!	273	https://www.adlibris.com/no/bok/nedtegnelser-fra-en-fantastisk-bursdag---not-9788248922674	2024-11-13 00:20:59
9788205493049	Verdens verste bursdag	272	https://www.ark.no/produkt/boker/barneboker/verdens-verste-bursdag-9788205493049	Verdens verste bursdag	272	https://www.norli.no/boker/barneboker/fra-8-ar/verdens-verste-bursdag-1	Verdens verste bursdag	273	https://www.adlibris.com/no/bok/verdens-verste-bursdag-9788205493049	2024-11-13 00:16:44
9788202730604	Hvem i jungelen?	172	https://www.ark.no/produkt/boker/barneboker/hvem-i-jungelen-9788202730604	Hvem i jungelen?	172	https://www.norli.no/boker/barneboker/fra-4-ar/hvem-i-jungelen	Hvem i jungelen?	172	https://www.adlibris.com/no/bok/hvem-i-jungelen-9788202730604	2024-11-13 00:16:13
9788242975607	Katteguden Frøya - en historie fra Ragnarok	209	https://www.ark.no/produkt/boker/barneboker/katteguden-froya-9788242975607	Katteguden Frøya - en historie fra Ragnarok	209	https://www.norli.no/katteguden-froya	Katteguden Frøya; 9788242975607	209	https://www.adlibris.com/no/bok/katteguden-froya-9788242975607-9788242975607	2024-11-13 00:28:43
9788202733544	Jorvik kaller	272	https://www.ark.no/produkt/boker/skjonnlitteratur/jorvik-kaller-9788202733544	Jorvik kaller	149	https://www.norli.no/boker/barneboker/fra-10-ar/jorvik-kaller	Star Stable, Skjebnerytterne 1; Jorvik kaller.	273	https://www.adlibris.com/no/bok/star-stable-skjebnerytterne-1-jorvik-kaller-9788202733544	2024-11-13 00:11:36
9788269291407	Farlig ferie	254	https://www.ark.no/produkt/boker/barneboker/farlig-ferie-9788269291407	Farlig ferie	254	https://www.norli.no/boker/barneboker/fra-10-ar/farlig-ferie-1	-	0	-	2024-11-13 00:14:30
9781789460674	Mbappe (Ultimate Football Heroes - the No. 1 football series) - Collect Them All!	129	https://www.ark.no/produkt/boker/barneboker/mbappe-ultimate-football-heroes-the-no-1-football-series-9781789460674	Mbappe (Ultimate Football Heroes - the No. 1 football series) - Collect Them All!	129	https://www.norli.no/boker/barneboker/fakta/mbappe-ultimate-football-heroes-the-no-1-football-series	Mbappe (Ultimate Football Heroes - the No. 1 football series)	141	https://www.adlibris.com/no/bok/mbappe-ultimate-football-heroes---the-no-1-football-series-9781789460674	2024-11-13 00:37:52
9788202730864	Kroppen vår fra bæsj til hår	172	https://www.ark.no/produkt/boker/barneboker/kroppen-var-fra-baesj-til-har-9788202730864	Kroppen vår fra bæsj til hår	172	https://www.norli.no/boker/barneboker/fra-4-ar/kroppen-var-4	Kroppen vår fra bæsj til hår	172	https://www.adlibris.com/no/bok/kroppen-var-fra-basj-til-har-9788202730864	2024-11-13 00:31:57
9788202791797	Den levende dukken	254	https://www.ark.no/produkt/boker/barneboker/den-levende-dukken-9788202791797	Den levende dukken	254	https://www.norli.no/boker/barneboker/fra-10-ar/den-levende-dukken-1	Den levende dukken	254	https://www.adlibris.com/no/bok/den-levende-dukken-9788202791797	2024-11-13 00:23:20
9788203394942	Mona skal ikke på audition!	227	https://www.ark.no/produkt/boker/barneboker/mona-skal-ikke-pa-audition-9788203394942	Mona skal ikke på audition!	99	https://www.norli.no/boker/barneboker/fra-6-ar/flow-2-mona-og-freestylefiendene	Mona skal ikke på audition!	227	https://www.adlibris.com/no/bok/mona-skal-ikke-pa-audition-9788203394942	2024-11-13 00:22:29
9788202794705	En liten bok om promp	209	https://www.ark.no/produkt/boker/barneboker/en-liten-bok-om-promp-9788202794705	En liten bok om promp	209	https://www.norli.no/boker/barneboker/fra-6-ar/en-liten-bok-om-promp	En liten bok om promp	209	https://www.adlibris.com/no/bok/en-liten-bok-om-promp-9788202794705	2024-11-13 00:23:59
9788202620707	Verdens søteste	181	https://www.ark.no/produkt/boker/barneboker/verdens-soteste-9788202620707	Verdens søteste	181	https://www.norli.no/boker/barneboker/fra-6-ar/verdens-soteste	Verdens søteste	181	https://www.adlibris.com/no/bok/verdens-soteste-9788202620707	2024-11-13 00:33:27
9788203378522	Gepardgåten	227	https://www.ark.no/produkt/boker/barneboker/gepardgaten-9788203378522	Gepardgåten	227	https://www.norli.no/boker/barneboker/fra-6-ar/gepardgaten	Gepardgåten	227	https://www.adlibris.com/no/bok/gepardgaten-9788203378522	2024-11-13 00:11:16
9788202756895	Søt og farlig	172	https://www.ark.no/produkt/boker/barneboker/sot-og-farlig-9788202756895	Søt og farlig	172	https://www.norli.no/boker/barneboker/fra-4-ar/sot-og-farlig	Søt og farlig	172	https://www.adlibris.com/no/bok/sot-og-farlig-9788202756895	2024-11-13 00:11:46
9788202714451	Rare valper	172	https://www.ark.no/produkt/boker/barneboker/rare-valper-9788202714451	Rare valper	172	https://www.norli.no/boker/barneboker/fra-4-ar/rare-valper	Rare valper	172	https://www.adlibris.com/no/bok/rare-valper-9788202714451	2024-11-13 00:18:16
9788205520417	Flukten til verdens ende	209	https://www.ark.no/produkt/boker/barneboker/flukten-til-verdens-ende-9788205520417	Flukten til verdens ende	99	https://www.norli.no/boker/barneboker/fra-8-ar/flukten-til-verdens-ende	Agent Elvin Griff; Flukten til verdens ende	209	https://www.adlibris.com/no/bok/agent-elvin-griff-flukten-til-verdens-ende-9788205520417	2024-11-13 00:22:39
9788202733063	Mørket faller	272	https://www.ark.no/produkt/boker/skjonnlitteratur/morket-faller-9788202733063	Mørket faller	272	https://www.norli.no/boker/barneboker/fra-10-ar/morket-faller-1	Mørket faller	273	https://www.adlibris.com/no/bok/morket-faller-9788202733063	2024-11-13 00:31:16
9780702333705	Diary of a Roblox Pro #7: Cash Splash	119	https://www.ark.no/produkt/boker/barneboker/diary-of-a-roblox-pro-7-cash-splash-9780702333705	Diary of a Roblox Pro #7: Cash Splash	129	https://www.norli.no/boker/barneboker/fra-6-ar/diary-of-a-roblox-pro-7-cash-splash	Diary of a Roblox Pro #7: Cash Splash	105	https://www.adlibris.com/no/bok/diary-of-a-roblox-pro-7-cash-splash-9780702333705	2024-11-13 00:39:12
9788283731514	Barske bøller i verdensrommet	227	https://www.ark.no/produkt/boker/barneboker/barske-boller-i-verdensrommet-9788283731514	Barske bøller i verdensrommet	227	https://www.norli.no/boker/barneboker/fra-8-ar/barske-boller-i-verdensrommet	Barske bøller i verdensrommet	227	https://www.adlibris.com/no/bok/barske-boller-i-verdensrommet-9788283731514	2024-11-13 00:24:50
9788284010786	Dragon ball super - 2 : Seiersuniverset!!	117	https://www.ark.no/produkt/boker/barneboker/dragon-ball-super-9788284010786	Dragon ball super - 2 : Seiersuniverset!!	118	https://www.norli.no/boker/humor-og-tegneserier/tegneserier/manga/seiersuniverset	Dragon ball super	118	https://www.adlibris.com/no/bok/dragon-ball-super-9788284010786	2024-11-13 00:33:17
9788205551022	Flukten til undervannsbyen	209	https://www.ark.no/produkt/boker/barneboker/flukten-til-undervannsbyen-9788205551022	Flukten til undervannsbyen	209	https://www.norli.no/boker/barneboker/fra-8-ar/flukten-til-undervannsbyen	Flukten til undervannsbyen	209	https://www.adlibris.com/no/bok/flukten-til-undervannsbyen-9788205551022	2024-11-13 00:36:40
9788242970947	Håpet	300	https://www.ark.no/produkt/boker/barneboker/hapet-9788242970947	Håpet	300	https://www.norli.no/boker/barneboker/fra-8-ar/hapet-3	Håpet; Arkin - lysets vokter 2	300	https://www.adlibris.com/no/bok/hapet-arkin---lysets-vokter-2-9788242970947	2024-11-13 00:23:39
